1.0;1.0;1.0;1;MCC
1.0;0.9650229357798165;0.982200175080245;2;MCC
1.0;0.9380234505862647;0.9680207433016422;3;MCC
1.0;0.8862911795961743;0.9397183098591549;4;MCC
1.0;0.8834388185654009;0.9381125735088212;5;MCC
1.0;0.8436400201106083;0.9151895282247068;6;MCC
1.0;0.8260437375745527;0.904735982580294;7;MCC
1.0;0.81648675171737;0.8989735278227985;8;MCC
1.0;0.9976345357776464;0.9988158673771462;1;GMA
0.9888235294117647;0.973364215402432;0.9810329734461628;2;GMA
0.9859072225484439;0.9464487034949267;0.9657750934713834;3;GMA
0.9499146272054638;0.9190528634361234;0.9342289392667227;4;GMA
0.9671090594345066;0.9035040431266846;0.9342251950947603;5;GMA
0.9438832772166106;0.8787878787878788;0.9101731601731601;6;GMA
0.9401805869074492;0.8627654065251166;0.8998109640831758;7;GMA
0.9390862944162437;0.8578052550231839;0.8966074313408723;8;GMA
